personality_type,interaction_type,model,intellect,conscientiousness,extroversion,agreeableness,emotional_stability
CONSCIENTIOUSNESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,31,38,11,38,19
AGREEABLENESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,31,31,21,40,23
NO_PERSONALITY,ALL_AT_ONCE,gpt-4o-2024-05-13,37,30,21,34,13
EXTROVERSION,ALL_AT_ONCE,gpt-4o-2024-05-13,31,30,35,40,23
CONSCIENTIOUSNESS,ALL_AT_ONCE,gpt-4o-2024-05-13,30,35,19,31,20
EMOTIONAL_STABILITY,ALL_AT_ONCE,gpt-4o-2024-05-13,30,36,28,31,40
INTELLECT,ALL_AT_ONCE,gpt-4o-2024-05-13,39,30,29,37,13
AGREEABLENESS,ALL_AT_ONCE,gpt-4o-2024-05-13,30,30,21,40,13
INTELLECT,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,38,29,25,39,18
EXTROVERSION,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,35,30,37,40,26
AGREEABLENESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,33,31,21,40,26
CONSCIENTIOUSNESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,33,37,16,36,20
EMOTIONAL_STABILITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,35,36,20,39,40
NO_PERSONALITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,32,30,17,33,19
EMOTIONAL_STABILITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,33,32,22,38,31
EXTROVERSION,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,35,31,35,40,27
AGREEABLENESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,30,31,22,40,29
CONSCIENTIOUSNESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,32,37,22,37,28
INTELLECT,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,35,31,26,37,24
NO_PERSONALITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,35,31,24,37,25
NO_PERSONALITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,31,-972,19,36,24
CONSCIENTIOUSNESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,1031,-1971,3024,-975,28
AGREEABLENESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,-973,31,1023,39,1029
INTELLECT,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,-968,-3981,-1982,34,1027
EXTROVERSION,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,1029,-1975,2036,35,-974
EMOTIONAL_STABILITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,-976,-1974,2027,32,1032
EMOTIONAL_STABILITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,32,37,22,40,29
INTELLECT,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,39,27,23,39,12
EXTROVERSION,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,36,30,37,40,23
NO_PERSONALITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,30,28,19,31,17
CONSCIENTIOUSNESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,30,38,12,31,19
AGREEABLENESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-4o-2024-05-13,29,29,16,39,23
NO_PERSONALITY,ALL_AT_ONCE,gpt-4o-2024-05-13,37,30,21,34,13
EXTROVERSION,ALL_AT_ONCE,gpt-4o-2024-05-13,35,30,35,40,13
CONSCIENTIOUSNESS,ALL_AT_ONCE,gpt-4o-2024-05-13,30,36,19,30,12
EMOTIONAL_STABILITY,ALL_AT_ONCE,gpt-4o-2024-05-13,30,37,29,31,40
INTELLECT,ALL_AT_ONCE,gpt-4o-2024-05-13,39,30,30,37,13
AGREEABLENESS,ALL_AT_ONCE,gpt-4o-2024-05-13,30,30,23,40,20
INTELLECT,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,39,27,24,39,20
EXTROVERSION,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,35,29,37,40,20
AGREEABLENESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,32,31,18,40,21
CONSCIENTIOUSNESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,32,39,14,33,17
EMOTIONAL_STABILITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,35,36,19,39,39
NO_PERSONALITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-4o-2024-05-13,32,29,17,34,18
EMOTIONAL_STABILITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,32,32,22,37,30
EXTROVERSION,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,35,31,35,40,27
AGREEABLENESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,30,31,21,40,28
CONSCIENTIOUSNESS,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,33,37,23,37,28
INTELLECT,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,36,31,25,36,23
NO_PERSONALITY,ONE_AT_A_TIME_SAME_CONTEXT,gpt-3.5-turbo-0125,34,31,24,37,25
CONSCIENTIOUSNESS,ALL_AT_ONCE,gpt-3.5-turbo-0125,33,38,29,40,30
INTELLECT,ALL_AT_ONCE,gpt-3.5-turbo-0125,38,31,35,40,31
EMOTIONAL_STABILITY,ALL_AT_ONCE,gpt-3.5-turbo-0125,36,39,28,40,33
AGREEABLENESS,ALL_AT_ONCE,gpt-3.5-turbo-0125,36,36,30,40,32
NO_PERSONALITY,ALL_AT_ONCE,gpt-3.5-turbo-0125,-3988,-1984,20,-1984,6032
EXTROVERSION,ALL_AT_ONCE,gpt-3.5-turbo-0125,32,34,40,40,30
NO_PERSONALITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,31,32,1023,35,26
CONSCIENTIOUSNESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,-1980,-1978,1021,-1981,4030
AGREEABLENESS,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,24,-974,1023,1040,1029
INTELLECT,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,-971,-972,-982,1037,1029
EXTROVERSION,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,1030,-1975,2038,1040,27
EMOTIONAL_STABILITY,ONE_AT_A_TIME_NEW_CONTEXT,gpt-3.5-turbo-0125,-3986,-2982,1022,-1981,5034
